;Nomor Perkara;Klasifikasi Perkara;Tahun;Sumber
0;129/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
1;129/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
2;122/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
3;113/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
4;100/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
5;98/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
6;81/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
7;12/Pdt.P/2023/PN Ksp;Permohonan Ganti Nama;2023;pn-kualasimpang
8;61/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
9;37/Pid.Sus/2023/PN Ksp;Narkotika;2023;pn-kualasimpang
10;28/Pid.Sus/2023/PN Ksp;Narkotika;2023;pn-kualasimpang
11;16/Pid.Sus/2023/PN Ksp;Narkotika;2023;pn-kualasimpang
12;17/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
13;8/Pid.B/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
14;311/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
15;296/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
16;282/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
17;274/Pid.B/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
18;2125/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
19;252/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
20;2110/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
21;237/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
22;235/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
23;221/Pid.Sus/2022/PN Ksp;Lalu Lintas;2022;pn-kualasimpang
24;2078/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
25;2058/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
26;135/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
27;2036/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
28;2016/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
29;125/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
30;1990/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
31;212/Pid.B/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
32;1972/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
33;116/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
34;1958/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
35;103/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
36;67/Pdt.P/2022/PN Ksp;Perbaikan Kesalahan Dalam Akta Kelahiran;2022;pn-kualasimpang
37;1932/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
38;65/Pdt.P/2022/PN Ksp;Permohonan Ganti Nama;2022;pn-kualasimpang
39;1905/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
40;1885/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
41;171/Pid.B/2022/PN Ksp;Penadahan, Penerbitan, dan Pencetakan;2022;pn-kualasimpang
42;1856/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
43;1836/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
44;167/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
45;1810/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
46;1820/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
47;1783/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
48;1763/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
49;1751/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
50;1731/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
51;53/Pdt.P/2022/PN Ksp;Perbaikan Kesalahan Dalam Akta Kelahiran;2022;pn-kualasimpang
52;1699/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
53;52/Pdt.P/2022/PN Ksp;Perbaikan Kesalahan Dalam Akta Kelahiran;2022;pn-kualasimpang
54;1678/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
55;1658/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
56;1638/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
57;1618/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
58;1598/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
59;71/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
60;1537/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
61;1557/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
62;1577/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
63;129/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
64;1481/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
65;1461/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
66;1500/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
67;121/Pid.B/2022/PN Ksp;Penganiayaan;2022;pn-kualasimpang
68;1450/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
69;1430/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
70;1410/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
71;1408/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
72;1388/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
73;1368/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
74;1348/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
75;46/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
76;1327/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
77;1312/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
78;1292/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
79;1276/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
80;1256/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
81;1236/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
82;96/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
83;1217/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
84;1197/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
85;1177/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
86;1157/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
87;1137/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
88;1064/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
89;1084/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
90;1104/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
91;1124/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
92;1014/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
93;1034/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
94;1054/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
95;1001/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
96;981/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
97;961/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
98;72/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
99;930/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
100;910/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
101;27/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
102;875/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
103;855/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
104;835/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
105;815/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
106;805/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
107;785/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
108;765/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
109;745/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
110;699/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
111;719/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
112;60/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
113;623/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
114;603/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
115;583/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
116;629/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
117;650/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
118;670/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
119;18/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
120;548/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
121;528/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
122;508/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
123;488/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
124;468/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
125;448/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
126;428/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
127;11/Pdt.P/2022/PN Ksp;Permohonan Ganti Nama;2022;pn-kualasimpang
128;400/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
129;380/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
130;360/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
131;340/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
132;327/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
133;307/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
134;287/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
135;333/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
136;251/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
137;231/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
138;211/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
139;198/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
140;178/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
141;158/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
142;138/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
143;32/Pid.B/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
144;117/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
145;97/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
146;77/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
147;17/Pid.B/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
148;20/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
149;40/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
150;2/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
151;1/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
152;2381/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
153;2361/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
154;2341/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
155;83/Pdt.P/2021/PN Ksp;Permohonan Ganti Nama;2021;pn-kualasimpang
156;2309/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
157;2289/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
158;2269/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
159;103/Pid.C/2021/PN Ksp;Pencurian;2021;pn-kualasimpang
160;2243/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
161;2154/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
162;2174/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
163;2194/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
164;2214/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
165;2234/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
166;2128/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
167;2108/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
168;2088/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
169;2068/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
170;2137/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
171;2047/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
172;2026/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
173;2006/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
174;1986/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
175;89/Pid.C/2021/PN Ksp;Pencurian;2021;pn-kualasimpang
176;1951/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
177;1931/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
178;1911/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
179;1898/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
180;1878/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
181;1858/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
182;1838/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
183;224/Pid.B/2021/PN Ksp;Pencurian;2021;pn-kualasimpang
184;1812/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
185;1792/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
186;1772/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
187;81/Pid.C/2021/PN Ksp;Pencurian;2021;pn-kualasimpang
188;1741/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
189;1721/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
190;1701/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
191;1681/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
192;78/Pid.C/2021/PN Ksp;Pencurian;2021;pn-kualasimpang
193;1653/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
194;1633/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
195;1613/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
196;1595/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
197;1575/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
198;1555/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
199;1535/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
200;1515/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
201;1495/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
202;1488/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
203;1468/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
204;1448/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
205;1432/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
206;1422/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
207;197/Pid.Sus/2021/PN Ksp;Narkotika;2021;pn-kualasimpang
208;1397/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
209;1377/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
210;1373/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
211;184/Pid.Sus/2021/PN Ksp;Narkotika;2021;pn-kualasimpang
212;1336/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
213;1323/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
214;1297/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
215;1286/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
216;167/Pid.Sus/2021/PN Ksp;Narkotika;2021;pn-kualasimpang
217;1265/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
218;1256/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
219;48/Pdt.P/2021/PN Ksp;Pengangkatan Wali Bagi Anak;2021;pn-kualasimpang
220;1230/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
221;1216/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
222;1196/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
223;1181/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
224;146/Pid.Sus/2021/PN Ksp;Narkotika;2021;pn-kualasimpang
225;1148/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
226;1128/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
227;1108/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
228;142/Pid.Sus/2021/PN Ksp;Narkotika;2021;pn-kualasimpang
229;1076/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
230;1056/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
231;1036/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
232;1021/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
233;1001/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
234;981/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
235;961/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
236;123/Pid.B/2021/PN Ksp;Pencurian;2021;pn-kualasimpang
237;946/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
238;926/Pid.LL/2021/PN Ksp;Perkara Lalu-Lintas;2021;pn-kualasimpang
